PIDM,TERM_CODE,STUDENT_LEVEL,DEGREE_CODE_1,DEGREE_DESC_1,COLLEGE_CODE_1,COLLEGE_DESC_1,DEPT_CODE_1,DEPT_DESC_1,MAJOR_CODE_1,MAJOR_DESC_1,DEGREE_CODE_2,DEGREE_DESC_2,DEPT_CODE_2,DEPT_DESC_2,COLLEGE_CODE_2,COLLEGE_DESC_2,MAJOR_CODE_2,MAJOR_DESC_2
961629,202230,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,SOAN,Sociology and Anthropology,SOC,Sociology,BS,Bachelor of Science,MKT,Marketing,BU,College of Business,MKT,Marketing
964753,202230,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
967305,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,SWK,Social Work,UNSW,Undeclared Social Work,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
968397,202230,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,ART,Art,ART,Art,BS,Bachelor of Science,IDPL,College of LAS - IDP,LA,College Letters Arts Sciences,IDP,Individualized Degree Program
970157,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
972740,202230,GR,MAT,Master of Teaching,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",TEDM,Teacher Education - MAT,GCERT,Graduate Certificate Program,TED2,"Spec, ErlyChld, CultLingDiv Ed",ED,School of Education,CASS,Certificate-Autsm&SgnftSupNeed
973149,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AMSI,Ad. Manufng. Sci. Inst.,AMS,Advncd Manufacturing Sciences,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
973620,202230,GR,MS,Master of Science,HS,College of Health and Applied Science,NUT,Nutrition,NUTM,Human Nutrition & Dietetics-MS,BS,Bachelor of Science,NUT,Nutrition,PS,College of Health and Applied Science,HND,Human Nutrition - Dietetics
974056,202230,UG,BME,Bachelor of Music Education,LA,College Letters Arts Sciences,MUS,Music,MED,Music Education,BM,Bachelor of Music,MUS,Music,LA,College Letters Arts Sciences,MUS,Music
974205,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology,CJC,Criminal Justice & Criminology,BA,Bachelor of Arts,PSYC,Psychological Sciences,LA,College Letters Arts Sciences,PSY,Psychology
974341,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,HSC,Human Services and Counseling,HSP,Human Services,BA,Bachelor of Arts,MDL,Modern Languages,LA,College Letters Arts Sciences,MDL,Modern Languages
977305,202230,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,MPACC,Master of Prof Accountancy,ACC,Accounting,BU,College of Business,ACCM,Professional Accountancy
978110,202230,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
